Hydration Score Energy Score =,(Carbs Loss + Salts Loss) / 2 ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Hydration Score =,1- (Hydration Score Energy Loss),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Health Score Energy Loss =,(Carbs loss + PH average loss + Salts loss + Urea loss)/4,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Health Score =,1- (Health Score Energy Loss),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Carbs,,,,PH Average,,,,Salts,,,,Urea,,,,Example Numbers ONLY,,,
,,0.9,96.00%,3.67%,,4.89,96%,0.50%,,0.9,96%,1.38%,,0.9,81.60%,1.60%,,4.00%,96.00%,7.60%,92.40%
,,1,96.00%,3.67%,,4.9,96%,0.50%,,1,96%,1.38%,,1,80.00%,1.60%,,4.00%,96.00%,8.00%,92.00%
,,1.1,96.00%,3.67%,,4.91,96%,0.50%,,1.1,96%,1.38%,,1.1,78.40%,1.60%,,4.00%,96.00%,8.40%,91.60%
,,1.2,96.00%,3.67%,,4.92,96%,0.50%,,1.2,96%,1.38%,,1.2,76.80%,1.60%,,4.00%,96.00%,8.80%,91.20%
,,1.3,96.00%,3.67%,,4.93,96%,0.50%,,1.3,96%,1.38%,,1.3,75.20%,1.60%,,4.00%,96.00%,9.20%,90.80%
,,1.4,96.00%,3.67%,,4.94,96%,0.50%,,1.4,96%,1.38%,,1.4,73.60%,1.60%,,4.00%,96.00%,9.60%,90.40%
,,1.5,96.00%,3.67%,,4.95,96%,0.50%,,1.5,96%,1.38%,,1.5,72.00%,1.60%,,4.00%,96.00%,10.00%,90.00%
,,1.6,96.00%,3.67%,,4.96,96%,0.50%,,1.6,96%,1.38%,,1.6,70.40%,1.60%,,4.00%,96.00%,10.40%,89.60%
,,1.7,96.00%,3.67%,,4.97,96%,0.50%,,1.7,96%,1.38%,,1.7,68.80%,1.60%,,4.00%,96.00%,10.80%,89.20%
,,1.8,96.00%,3.67%,,4.98,96%,0.50%,,1.8,96%,1.38%,,1.8,67.20%,1.60%,,4.00%,96.00%,11.20%,88.80%
,,1.9,96.00%,3.67%,,4.99,96%,0.50%,,1.9,96%,1.38%,,1.9,65.60%,1.60%,,4.00%,96.00%,11.60%,88.40%
,,2,96.00%,3.67%,,5,96%,0.50%,,2,96%,1.38%,,2,64.00%,1.60%,,4.00%,96.00%,12.00%,88.00%
,,2.1,92.33%,3.67%,,5.01,96%,0.50%,,2.1,96%,1.38%,,2.1,62.40%,1.60%,,5.84%,94.17%,13.32%,86.68%
,,2.2,88.67%,3.67%,,5.02,96%,0.50%,,2.2,96%,1.38%,,2.2,60.80%,1.60%,,7.67%,92.34%,14.63%,85.37%
,,2.3,85.00%,3.67%,,5.03,96%,0.50%,,2.3,96%,1.38%,,2.3,59.20%,1.60%,,9.50%,90.50%,15.95%,84.05%
,,2.4,81.33%,3.67%,,5.04,96%,0.50%,,2.4,96%,1.38%,,2.4,57.60%,1.60%,,11.34%,88.67%,17.27%,82.73%
,,2.5,77.67%,3.67%,,5.05,96%,0.50%,,2.5,96%,1.38%,,2.5,56.00%,1.60%,,13.17%,86.84%,18.58%,81.42%
,,2.6,74.00%,8.22%,,5.06,96%,0.50%,,2.6,96%,1.38%,,2.6,54.40%,1.60%,,15.00%,85.00%,19.90%,80.10%
,,2.7,65.78%,8.22%,,5.07,96%,0.50%,,2.7,96%,1.38%,,2.7,52.80%,1.60%,,19.11%,80.89%,22.36%,77.65%
,,2.8,57.56%,8.22%,,5.08,96%,0.50%,,2.8,96%,1.38%,,2.8,51.20%,1.60%,,23.22%,76.78%,24.81%,75.19%
,,2.9,49.33%,8.22%,,5.09,96%,0.50%,,2.9,96%,1.38%,,2.9,49.60%,1.60%,,27.34%,72.67%,27.27%,72.73%
,,3,41.11%,8.22%,,5.1,96%,0.50%,,3,96%,1.38%,,3,48.00%,1.60%,,31.45%,68.56%,29.72%,70.28%
,,3.1,32.89%,8.22%,,5.11,96%,0.50%,,3.1,96%,1.38%,,3.1,46.40%,1.60%,,35.56%,64.45%,32.18%,67.82%
,,3.2,24.67%,8.22%,,5.12,96%,0.50%,,3.2,96%,1.38%,,3.2,44.80%,1.60%,,39.67%,60.34%,34.63%,65.37%
,,3.3,16.44%,8.22%,,5.13,96%,0.50%,,3.3,96%,1.38%,,3.3,43.20%,1.60%,,43.78%,56.22%,37.09%,62.91%
,,3.4,8.22%,8.22%,,5.14,96%,0.50%,,3.4,96%,1.38%,,3.4,41.60%,1.60%,,47.89%,52.11%,39.55%,60.46%
,,3.5,0.00%,-0.80%,,5.15,96%,0.50%,,3.5,96%,1.38%,,3.5,40.00%,1.60%,,52.00%,48.00%,42.00%,58.00%
,,3.6,0.80%,0.80%,,5.16,96%,0.50%,,3.6,96%,1.38%,,3.6,38.40%,1.60%,,51.60%,48.40%,42.20%,57.80%
,,3.7,1.60%,0.80%,,5.17,96%,0.50%,,3.7,96%,1.38%,,3.7,36.80%,1.60%,,51.20%,48.80%,42.40%,57.60%
,,3.8,2.40%,0.80%,,5.18,96%,0.50%,,3.8,96%,1.38%,,3.8,35.20%,1.60%,,50.80%,49.20%,42.60%,57.40%
,,3.9,3.20%,0.80%,,5.19,96%,0.50%,,3.9,96%,1.38%,,3.9,33.60%,1.60%,,50.40%,49.60%,42.80%,57.20%
,,4,4.00%,0.80%,,5.2,96%,0.50%,,4,96%,1.38%,,4,32.00%,1.60%,,50.00%,50.00%,43.00%,57.00%
,,4.1,4.80%,0.80%,,5.21,96%,0.50%,,4.1,96%,1.38%,,4.1,30.40%,1.60%,,49.60%,50.40%,43.20%,56.80%
,,4.2,5.60%,0.80%,,5.22,96%,0.50%,,4.2,96%,1.38%,,4.2,28.80%,1.60%,,49.20%,50.80%,43.40%,56.60%
,,4.3,6.40%,0.80%,,5.23,96%,0.50%,,4.3,96%,1.38%,,4.3,27.20%,1.60%,,48.80%,51.20%,43.60%,56.40%
,,4.4,7.20%,0.80%,,5.24,96%,0.50%,,4.4,96%,1.38%,,4.4,25.60%,1.60%,,48.40%,51.60%,43.80%,56.20%
,,4.5,8.00%,0.80%,,5.25,96%,0.50%,,4.5,96%,1.38%,,4.5,24.00%,1.60%,,48.00%,52.00%,44.00%,56.00%
,,4.6,8.80%,0.80%,,5.26,96%,0.50%,,4.6,96%,1.38%,,4.6,22.40%,1.60%,,47.60%,52.40%,44.20%,55.80%
,,4.7,9.60%,0.80%,,5.27,96%,0.50%,,4.7,96%,1.38%,,4.7,20.80%,1.60%,,47.20%,52.80%,44.40%,55.60%
,,4.8,10.40%,0.80%,,5.28,96%,0.50%,,4.8,96%,1.38%,,4.8,19.20%,1.60%,,46.80%,53.20%,44.60%,55.40%
,,4.9,11.20%,0.80%,,5.29,96%,0.50%,,4.9,96%,1.38%,,4.9,17.60%,1.60%,,46.40%,53.60%,44.80%,55.20%
,,5,12.00%,0.80%,,5.3,96%,0.50%,,5,96%,1.38%,,5,16.00%,1.60%,,46.00%,54.00%,45.00%,55.00%
,,5.1,12.80%,0.80%,,5.31,96%,0.50%,,5.1,96%,1.38%,,5.1,14.40%,1.60%,,45.60%,54.40%,45.20%,54.80%
,,5.2,13.60%,0.80%,,5.32,96%,0.50%,,5.2,96%,1.38%,,5.2,12.80%,1.60%,,45.20%,54.80%,45.40%,54.60%
,,5.3,14.40%,0.80%,,5.33,96%,0.50%,,5.3,96%,1.38%,,5.3,11.20%,1.60%,,44.80%,55.20%,45.60%,54.40%
,,5.4,15.20%,0.80%,,5.34,96%,0.50%,,5.4,96%,1.38%,,5.4,9.60%,1.60%,,44.40%,55.60%,45.80%,54.20%
,,5.5,16.00%,0.80%,,5.35,96%,0.50%,,5.5,96%,1.38%,,5.5,8.00%,1.60%,,44.00%,56.00%,46.00%,54.00%
,,5.6,16.80%,0.80%,,5.36,96%,0.50%,,5.6,96%,1.38%,,5.6,6.40%,1.60%,,43.60%,56.40%,46.20%,53.80%
,,5.7,17.60%,0.80%,,5.37,96%,0.50%,,5.7,96%,1.38%,,5.7,4.80%,1.60%,,43.20%,56.80%,46.40%,53.60%
,,5.8,18.40%,0.80%,,5.38,96%,0.50%,,5.8,96%,1.38%,,5.8,3.20%,1.60%,,42.80%,57.20%,46.60%,53.40%
,,5.9,19.20%,0.80%,,5.39,96%,0.50%,,5.9,96%,1.38%,,5.9,1.60%,1.60%,,42.40%,57.60%,46.80%,53.20%
,,6,20.00%,0.80%,,5.4,96%,0.50%,,6,96%,1.38%,,6,0%,-1.60%,,42.00%,58.00%,47.00%,53.00%
,,6.1,20.80%,0.80%,,5.41,95.50%,0.50%,,6.1,96%,1.38%,,6.1,0.31%,0.31%,,41.60%,58.40%,46.85%,53.15%
,,6.2,21.60%,0.80%,,5.42,95.00%,0.50%,,6.2,96%,1.38%,,6.2,0.61%,0.31%,,41.20%,58.80%,46.70%,53.30%
,,6.3,22.40%,0.80%,,5.43,94.50%,0.50%,,6.3,96%,1.38%,,6.3,0.92%,0.31%,,40.80%,59.20%,46.55%,53.46%
,,6.4,23.20%,0.80%,,5.44,94.00%,0.50%,,6.4,96%,1.38%,,6.4,1.22%,0.31%,,40.40%,59.60%,46.40%,53.61%
,,6.5,24.00%,0.80%,,5.45,93.50%,0.50%,,6.5,96%,1.38%,,6.5,1.53%,0.31%,,40.00%,60.00%,46.24%,53.76%
,,6.6,24.80%,0.80%,,5.46,93.00%,0.50%,,6.6,96%,1.38%,,6.6,1.83%,0.31%,,39.60%,60.40%,46.09%,53.91%
,,6.7,25.60%,0.80%,,5.47,92.50%,0.50%,,6.7,96%,1.38%,,6.7,2.14%,0.31%,,39.20%,60.80%,45.94%,54.06%
,,6.8,26.40%,0.80%,,5.48,92.00%,0.50%,,6.8,96%,1.38%,,6.8,2.44%,0.31%,,38.80%,61.20%,45.79%,54.21%
,,6.9,27.20%,0.80%,,5.49,91.50%,0.50%,,6.9,96%,1.38%,,6.9,2.75%,0.31%,,38.40%,61.60%,45.64%,54.36%
,,7,28.00%,0.80%,,5.5,91.00%,0.50%,,7,96%,1.38%,,7,3.05%,0.31%,,38.00%,62.00%,45.49%,54.51%
,,7.1,28.80%,0.80%,,5.51,90.50%,0.50%,,7.1,96%,1.38%,,7.1,3.36%,0.31%,,37.60%,62.40%,45.34%,54.67%
,,7.2,29.60%,0.80%,,5.52,90.00%,0.50%,,7.2,96%,1.38%,,7.2,3.66%,0.31%,,37.20%,62.80%,45.19%,54.82%
,,7.3,30.40%,0.80%,,5.53,89.50%,0.50%,,7.3,96%,1.38%,,7.3,3.97%,0.31%,,36.80%,63.20%,45.03%,54.97%
,,7.4,31.20%,0.80%,,5.54,89.00%,0.50%,,7.4,96%,1.38%,,7.4,4.27%,0.31%,,36.40%,63.60%,44.88%,55.12%
,,7.5,32.00%,0.80%,,5.55,88.50%,0.50%,,7.5,96%,1.38%,,7.5,4.58%,0.31%,,36.00%,64.00%,44.73%,55.27%
,,7.6,32.80%,0.80%,,5.56,88.00%,0.50%,,7.6,96%,1.38%,,7.6,4.88%,0.31%,,35.60%,64.40%,44.58%,55.42%
,,7.7,33.60%,0.80%,,5.57,87.50%,0.50%,,7.7,96%,1.38%,,7.7,5.19%,0.31%,,35.20%,64.80%,44.43%,55.57%
,,7.8,34.40%,0.80%,,5.58,87.00%,0.50%,,7.8,96%,1.38%,,7.8,5.49%,0.31%,,34.80%,65.20%,44.28%,55.72%
,,7.9,35.20%,0.80%,,5.59,86.50%,0.50%,,7.9,96%,1.38%,,7.9,5.80%,0.31%,,34.40%,65.60%,44.13%,55.88%
,,8,36.00%,0.80%,,5.6,86.00%,0.50%,,8,96%,1.38%,,8,6.10%,0.31%,,34.00%,66.00%,43.98%,56.03%
,,8.1,36.80%,0.80%,,5.61,85.50%,0.50%,,8.1,96%,1.38%,,8.1,6.41%,0.31%,,33.60%,66.40%,43.82%,56.18%
,,8.2,37.60%,0.80%,,5.62,85.00%,0.50%,,8.2,96%,1.38%,,8.2,6.71%,0.31%,,33.20%,66.80%,43.67%,56.33%
,,8.3,38.40%,0.80%,,5.63,84.50%,0.50%,,8.3,96%,1.38%,,8.3,7.02%,0.31%,,32.80%,67.20%,43.52%,56.48%
,,8.4,39.20%,0.80%,,5.64,84.00%,0.50%,,8.4,96%,1.38%,,8.4,7.32%,0.31%,,32.40%,67.60%,43.37%,56.63%
,,8.5,40.00%,0.80%,,5.65,83.50%,0.50%,,8.5,96%,1.38%,,8.5,7.63%,0.31%,,32.00%,68.00%,43.22%,56.78%
,,8.6,40.80%,0.80%,,5.66,83.00%,0.50%,,8.6,94.62%,1.38%,,8.6,7.93%,0.31%,,32.29%,67.71%,43.41%,56.59%
,,8.7,41.60%,0.80%,,5.67,82.50%,0.50%,,8.7,93.24%,1.38%,,8.7,8.24%,0.31%,,32.58%,67.42%,43.61%,56.40%
,,8.8,42.40%,0.80%,,5.68,82.00%,0.50%,,8.8,91.86%,1.38%,,8.8,8.54%,0.31%,,32.87%,67.13%,43.80%,56.20%
,,8.9,43.20%,0.80%,,5.69,81.50%,0.50%,,8.9,90.48%,1.38%,,8.9,8.85%,0.31%,,33.16%,66.84%,43.99%,56.01%
,,9,44.00%,0.80%,,5.7,81.00%,0.50%,,9,89.10%,1.38%,,9,9.15%,0.31%,,33.45%,66.55%,44.19%,55.81%
,,9.1,44.80%,0.80%,,5.71,80.50%,0.50%,,9.1,87.72%,1.38%,,9.1,9.46%,0.31%,,33.74%,66.26%,44.38%,55.62%
,,9.2,45.60%,0.80%,,5.72,80.00%,0.50%,,9.2,86.34%,1.38%,,9.2,9.76%,0.31%,,34.03%,65.97%,44.58%,55.43%
,,9.3,46.40%,0.80%,,5.73,79.50%,0.50%,,9.3,84.97%,1.38%,,9.3,10.07%,0.31%,,34.32%,65.69%,44.77%,55.24%
,,9.4,47.20%,0.80%,,5.74,79.00%,0.50%,,9.4,83.59%,1.38%,,9.4,10.37%,0.31%,,34.61%,65.40%,44.96%,55.04%
,,9.5,48.00%,0.80%,,5.75,78.50%,0.50%,,9.5,82.21%,1.38%,,9.5,10.68%,0.31%,,34.90%,65.11%,45.15%,54.85%
,,9.6,48.87%,0.87%,,5.76,78.00%,0.50%,,9.6,80.83%,1.38%,,9.6,10.98%,0.31%,,35.15%,64.85%,45.33%,54.67%
,,9.7,49.73%,0.87%,,5.77,77.50%,0.50%,,9.7,79.45%,1.38%,,9.7,11.29%,0.31%,,35.41%,64.59%,45.51%,54.49%
,,9.8,50.60%,0.87%,,5.78,77.00%,0.50%,,9.8,78.07%,1.38%,,9.8,11.59%,0.31%,,35.67%,64.34%,45.69%,54.32%
,,9.9,51.47%,0.87%,,5.79,76.50%,0.50%,,9.9,76.69%,1.38%,,9.9,11.90%,0.31%,,35.92%,64.08%,45.86%,54.14%
,,10,52.33%,0.87%,,5.8,76%,0.63%,,10,75.31%,1.38%,,10,12.20%,0.31%,,36.18%,63.82%,46.04%,53.96%
,,10.1,53.20%,0.87%,,5.81,75.37%,0.63%,,10.1,73.93%,1.38%,,10.1,12.51%,0.31%,,36.44%,63.57%,46.25%,53.75%
,,10.2,54.07%,0.87%,,5.82,74.73%,0.63%,,10.2,72.55%,1.38%,,10.2,12.81%,0.31%,,36.69%,63.31%,46.46%,53.54%
,,10.3,54.93%,0.87%,,5.83,74.10%,0.63%,,10.3,71.17%,1.38%,,10.3,13.12%,0.31%,,36.95%,63.05%,46.67%,53.33%
,,10.4,55.80%,0.87%,,5.84,73.47%,0.63%,,10.4,69.79%,1.38%,,10.4,13.42%,0.31%,,37.21%,62.80%,46.88%,53.12%
,,10.5,56.67%,0.87%,,5.85,72.83%,0.63%,,10.5,68.41%,1.38%,,10.5,13.73%,0.31%,,37.46%,62.54%,47.09%,52.91%
,,10.6,57.53%,0.87%,,5.86,72.20%,0.63%,,10.6,67.03%,1.38%,,10.6,14.03%,0.31%,,37.72%,62.28%,47.30%,52.70%
,,10.7,58.40%,0.87%,,5.87,71.57%,0.63%,,10.7,65.66%,1.38%,,10.7,14.34%,0.31%,,37.97%,62.03%,47.51%,52.49%
,,10.8,59.27%,0.87%,,5.88,70.93%,0.63%,,10.8,64.28%,1.38%,,10.8,14.64%,0.31%,,38.23%,61.78%,47.72%,52.28%
,,10.9,60.13%,0.87%,,5.89,70.30%,0.63%,,10.9,62.90%,1.38%,,10.9,14.95%,0.31%,,38.49%,61.52%,47.93%,52.07%
,,11,61.00%,0.87%,,5.9,69.67%,0.63%,,11,61.52%,1.38%,,11,15.25%,0.31%,,38.74%,61.26%,48.14%,51.86%
,,11.1,61.87%,0.87%,,5.91,69.03%,0.63%,,11.1,60.14%,1.38%,,11.1,15.56%,0.31%,,39.00%,61.01%,48.35%,51.65%
,,11.2,62.73%,0.87%,,5.92,68.40%,0.63%,,11.2,58.76%,1.38%,,11.2,15.86%,0.31%,,39.26%,60.75%,48.56%,51.44%
,,11.3,63.60%,0.87%,,5.93,67.77%,0.63%,,11.3,57.38%,1.38%,,11.3,16.17%,0.31%,,39.51%,60.49%,48.77%,51.23%
,,11.4,64.47%,0.87%,,5.94,67.13%,0.63%,,11.4,56%,1.56%,,11.4,16.47%,0.31%,,39.77%,60.24%,48.98%,51.02%
,,11.5,65.33%,0.87%,,5.95,66.50%,0.63%,,11.5,54.44%,1.56%,,11.5,16.78%,0.31%,,40.12%,59.89%,49.24%,50.76%
,,11.6,66.20%,0.87%,,5.96,65.87%,0.63%,,11.6,52.89%,1.56%,,11.6,17.08%,0.31%,,40.46%,59.55%,49.49%,50.51%
,,11.7,67.07%,0.87%,,5.97,65.23%,0.63%,,11.7,51.33%,1.56%,,11.7,17.39%,0.31%,,40.80%,59.20%,49.75%,50.26%
,,11.8,67.93%,0.87%,,5.98,64.60%,0.63%,,11.8,49.78%,1.56%,,11.8,17.69%,0.31%,,41.15%,58.86%,50.00%,50.00%
,,11.9,68.80%,0.87%,,5.99,63.97%,0.63%,,11.9,48.22%,1.56%,,11.9,18%,0.31%,,41.49%,58.51%,50.25%,49.75%
,,12,69.67%,0.87%,,6,63.33%,0.63%,,12,46.67%,1.56%,,12,18.31%,0.31%,,41.83%,58.17%,50.51%,49.50%
,,12.1,70.53%,0.87%,,6.01,62.70%,0.63%,,12.1,45.11%,1.56%,,12.1,18.62%,0.31%,,42.18%,57.82%,50.76%,49.24%
,,12.2,71.40%,0.87%,,6.02,62.07%,0.63%,,12.2,43.56%,1.56%,,12.2,18.93%,0.31%,,42.52%,57.48%,51.01%,48.99%
,,12.3,72.27%,0.87%,,6.03,61.43%,0.63%,,12.3,42.00%,1.56%,,12.3,19.24%,0.31%,,42.87%,57.14%,51.27%,48.74%
,,12.4,73.13%,0.87%,,6.04,60.80%,0.63%,,12.4,40.44%,1.56%,,12.4,19.56%,0.31%,,43.22%,56.79%,51.52%,48.48%
,,12.5,74.00%,0.87%,,6.05,60.17%,0.63%,,12.5,38.89%,1.56%,,12.5,19.87%,0.31%,,43.56%,56.45%,51.77%,48.23%
,,12.6,74.88%,0.88%,,6.06,59.53%,0.63%,,12.6,37.33%,1.56%,,12.6,20.18%,0.31%,,43.90%,56.11%,52.02%,47.98%
,,12.7,75.76%,0.88%,,6.07,58.90%,0.63%,,12.7,35.78%,1.56%,,12.7,20.49%,0.31%,,44.23%,55.77%,52.27%,47.73%
,,12.8,76.64%,0.88%,,6.08,58.27%,0.63%,,12.8,34.22%,1.56%,,12.8,20.80%,0.31%,,44.57%,55.43%,52.52%,47.48%
,,12.9,77.52%,0.88%,,6.09,57.63%,0.63%,,12.9,32.67%,1.56%,,12.9,21.11%,0.31%,,44.91%,55.10%,52.77%,47.23%
,,13,78.40%,0.88%,,6.1,57.00%,0.63%,,13,31.11%,1.56%,,13,21.42%,0.31%,,45.25%,54.76%,53.02%,46.98%
,,14,79.28%,0.88%,,6.11,56.37%,0.63%,,13.1,29.56%,1.56%,,13.1,21.73%,0.31%,,45.58%,54.42%,53.27%,46.74%
,,15,80.16%,0.88%,,6.12,55.73%,0.63%,,13.2,28.00%,1.56%,,13.2,22.04%,0.31%,,45.92%,54.08%,53.52%,46.48%
,,16,81.04%,0.88%,,6.13,55.10%,0.63%,,13.3,26.44%,1.56%,,13.3,22.36%,0.31%,,46.26%,53.74%,53.77%,46.24%
,,17,81.92%,0.88%,,6.14,54.47%,0.63%,,13.4,24.89%,1.56%,,13.4,22.67%,0.31%,,46.60%,53.41%,54.01%,45.99%
,,18,82.80%,0.88%,,6.15,53.83%,0.63%,,13.5,23.33%,1.56%,,13.5,22.98%,0.31%,,46.94%,53.07%,54.27%,45.74%
,,19,83.68%,0.88%,,6.16,53.20%,0.63%,,13.6,21.78%,1.56%,,13.6,23.29%,0.31%,,47.27%,52.73%,54.51%,45.49%
,,20,84.56%,0.88%,,6.17,52.57%,0.63%,,13.7,20.22%,1.56%,,13.7,23.60%,0.31%,,47.61%,52.39%,54.76%,45.24%
,,21,85.44%,0.88%,,6.18,51.93%,0.63%,,13.8,18.67%,1.56%,,13.8,23.91%,0.31%,,47.95%,52.06%,55.01%,44.99%
,,22,86.32%,0.88%,,6.19,51.30%,0.63%,,13.9,17.11%,1.56%,,13.9,24.22%,0.31%,,48.29%,51.72%,55.26%,44.74%
,,23,87.20%,0.88%,,6.2,50.67%,0.63%,,14,15.56%,1.56%,,14,24.53%,0.31%,,48.62%,51.38%,55.51%,44.49%
,,24,88.08%,0.88%,,6.21,50.03%,0.63%,,14.1,14.00%,1.56%,,14.1,24.84%,0.31%,,48.96%,51.04%,55.76%,44.24%
,,25,88.96%,0.88%,,6.22,49.40%,0.63%,,14.2,12.44%,1.56%,,14.2,25.16%,0.31%,,49.30%,50.70%,56.01%,43.99%
,,26,89.84%,0.88%,,6.23,48.77%,0.63%,,14.3,10.89%,1.56%,,14.3,25.47%,0.31%,,49.64%,50.37%,56.26%,43.74%
,,27,90.72%,0.88%,,6.24,48.13%,0.63%,,14.4,9.33%,1.56%,,14.4,25.78%,0.31%,,49.98%,50.03%,56.51%,43.49%
,,28,91.60%,0.88%,,6.25,47.50%,0.63%,,14.5,7.78%,1.56%,,14.5,26.09%,0.31%,,50.31%,49.69%,56.76%,43.24%
,,29,92.48%,0.88%,,6.26,46.87%,0.63%,,14.6,6.22%,1.56%,,14.6,26.40%,0.31%,,50.65%,49.35%,57.01%,42.99%
,,30,93.36%,0.88%,,6.27,46.23%,0.63%,,14.7,4.67%,1.56%,,14.7,26.71%,0.31%,,50.99%,49.02%,57.26%,42.74%
,,31,94.24%,0.88%,,6.28,45.60%,0.63%,,14.8,3.11%,1.56%,,14.8,27.02%,0.31%,,51.33%,48.68%,57.51%,42.49%
,,32,95.12%,0.88%,,6.29,44.97%,0.63%,,14.9,1.56%,1.56%,,14.9,27.33%,0.31%,,51.66%,48.34%,57.76%,42.25%
,,33,96.00%,0.88%,,6.3,44.33%,0.63%,,15,0%,-0.13%,,15,27.64%,0.31%,,52.00%,48.00%,58.01%,41.99%
,,,,,,6.31,43.70%,0.63%,,15.1,0.13%,0.13%,,15.1,27.96%,0.31%,,,,,
,,,,,,6.32,43.07%,0.63%,,15.2,0.27%,0.13%,,15.2,28.27%,0.31%,,,,,
,,,,,,6.33,42.43%,0.63%,,15.3,0.40%,0.13%,,15.3,28.58%,0.31%,,,,,
,,,,,,6.34,41.80%,0.63%,,15.4,0.54%,0.13%,,15.4,28.89%,0.31%,,,,,
,,,,,,6.35,41.17%,0.63%,,15.5,0.67%,0.13%,,15.5,29.20%,0.31%,,,,,
,,,,,,6.36,40.53%,0.63%,,15.6,0.81%,0.13%,,15.6,29.51%,0.31%,,,,,
,,,,,,6.37,39.90%,0.63%,,15.7,0.94%,0.13%,,15.7,29.82%,0.31%,,,,,
,,,,,,6.38,39.27%,0.63%,,15.8,1.07%,0.13%,,15.8,30.13%,0.31%,,,,,
,,,,,,6.39,38.63%,0.63%,,15.9,1.21%,0.13%,,15.9,30.44%,0.31%,,,,,
,,,,,,6.4,38.00%,0.63%,,16,1.34%,0.13%,,16,30.76%,0.31%,,,,,
,,,,,,6.41,37.37%,0.63%,,16.1,1.48%,0.13%,,16.1,31.07%,0.31%,,,,,
,,,,,,6.42,36.73%,0.63%,,16.2,1.61%,0.13%,,16.2,31.38%,0.31%,,,,,
,,,,,,6.43,36.10%,0.63%,,16.3,1.75%,0.13%,,16.3,31.69%,0.31%,,,,,
,,,,,,6.44,35.47%,0.63%,,16.4,1.88%,0.13%,,16.4,32.00%,0.31%,,,,,
,,,,,,6.45,34.83%,0.63%,,16.5,2.01%,0.13%,,16.5,32.31%,0.31%,,,,,
,,,,,,6.46,34.20%,0.63%,,16.6,2.15%,0.13%,,16.6,32.62%,0.31%,,,,,
,,,,,,6.47,33.57%,0.63%,,16.7,2.28%,0.13%,,16.7,32.93%,0.31%,,,,,
,,,,,,6.48,32.93%,0.63%,,16.8,2.42%,0.13%,,16.8,33.24%,0.31%,,,,,
,,,,,,6.49,32.30%,0.63%,,16.9,2.55%,0.13%,,16.9,33.56%,0.31%,,,,,
,,,,,,6.5,31.67%,0.63%,,17,2.69%,0.13%,,17,33.87%,0.31%,,,,,
,,,,,,6.51,31.03%,0.63%,,17.1,2.82%,0.13%,,17.1,34.18%,0.31%,,,,,
,,,,,,6.52,30.40%,0.63%,,17.2,2.96%,0.13%,,17.2,34.49%,0.31%,,,,,
,,,,,,6.53,29.77%,0.63%,,17.3,3.09%,0.13%,,17.3,34.80%,0.31%,,,,,
